Date,Close,High,Low,Open,Volume,Symbol,Company
2024-02-29,79.07681274414062,79.95442058749313,78.31515062293454,79.05882300732509,507289000,NVDA,NVIDIA Corporation
2024-03-01,82.24240112304688,82.26339550360602,79.3996643825277,79.96441550736878,479135000,NVDA,NVIDIA Corporation
2024-03-04,85.19908142089844,87.6559881507534,83.68175896782463,84.09257161789769,615616000,NVDA,NVIDIA Corporation
2024-03-05,85.92979431152344,86.0627446282655,83.38381061731276,85.23607018990775,520639000,NVDA,NVIDIA Corporation
2024-03-06,88.66470336914062,89.68829799563825,86.99536968964857,87.98697936730527,582520000,NVDA,NVIDIA Corporation
2024-03-07,92.63212585449219,92.73008643335444,89.56634486722336,90.12212339156478,608119000,NVDA,NVIDIA Corporation
2024-03-08,87.49317169189453,97.36124518073565,86.47157518241058,95.10014421389317,1142269000,NVDA,NVIDIA Corporation
2024-03-11,85.7398681640625,88.76166015314031,84.13250636211416,86.39460628547256,678364000,NVDA,NVIDIA Corporation
2024-03-12,91.87643432617188,91.92341269864875,86.11572665391354,88.01397320906432,668075000,NVDA,NVIDIA Corporation
2024-03-13,90.8518295288086,91.46758169303533,88.39980282776601,91.01876288430473,635713000,NVDA,NVIDIA Corporation
2024-03-14,87.90901184082031,90.60994033134025,86.56554478011422,89.54136538752242,602318000,NVDA,NVIDIA Corporation
2024-03-15,87.80204772949219,89.5103673539837,86.2226822059932,86.895410942326,642086000,NVDA,NVIDIA Corporation
2024-03-18,88.4197998046875,92.3682247909847,87.05034227173738,90.35202919541369,668976000,NVDA,NVIDIA Corporation
2024-03-19,89.3624267578125,90.5079668032944,84.976172470966,86.66549475083619,672171000,NVDA,NVIDIA Corporation
2024-03-20,90.33604431152344,90.37403120538988,88.18789728423222,89.76126851749964,479063000,NVDA,NVIDIA Corporation
2024-03-21,91.39861297607422,92.61113535282396,90.36902406254626,92.26327425898415,480372000,NVDA,NVIDIA Corporation
2024-03-22,94.25148010253906,94.74028392361174,90.79785315480537,91.10473019409365,586719000,NVDA,NVIDIA Corporation
2024-03-25,94.96419525146484,96.72749325113482,93.47279218881877,93.90362043919335,552136000,NVDA,NVIDIA Corporation
2024-03-26,92.52416229248047,96.33664749790948,92.46518766291072,95.81285394972517,513648000,NVDA,NVIDIA Corporation
2024-03-27,90.2140884399414,93.20289654761277,89.08753798498677,93.07494912764517,586067000,NVDA,NVIDIA Corporation
2024-03-28,90.32005310058594,91.26367775781303,89.15751380700202,89.96419193487675,435212000,NVDA,NVIDIA Corporation
2024-04-01,90.32704162597656,92.18830020895638,89.16850623304367,90.26307172974768,452441000,NVDA,NVIDIA Corporation
2024-04-02,89.4164047241211,90.05814752237067,87.58513306363145,88.41279885088287,433064000,NVDA,NVIDIA Corporation
2024-04-03,88.92860412597656,90.33804684293179,88.36483314028192,88.44879935629429,370067000,NVDA,NVIDIA Corporation
2024-04-04,85.87081146240234,90.59793338323315,85.8458198862947,90.3700196658157,434965000,NVDA,NVIDIA Corporation
2024-04-05,87.97297668457031,88.44578800690704,85.8918045734179,86.83142527427668,399678000,NVDA,NVIDIA Corporation
2024-04-08,87.09832763671875,88.79465089246293,86.69748624318682,88.66469774661466,283220000,NVDA,NVIDIA Corporation
2024-04-09,85.32002258300781,87.60012052713442,82.98895768982644,87.40719655433202,503547000,NVDA,NVIDIA Corporation
